Student_ID,Name,Department,Semester,Gender,Subject,Total_Classes,Classes_Attended,Attendance_Percentage,Previous_Attendance_Percentage,Leaves_Taken,Internal_Marks,Distance_KM,Monthly_Attendance,Trend,Risk_Label
STU00001,Vihaan Kapoor,Computer Science,7,Male,Computer Networks,54,47,87.04,82.01,5,64,4.7,87.04,improving,Low Risk
STU00001,Vihaan Kapoor,Computer Science,7,Male,Operating Systems,63,52,82.54,70.67,6,67,4.7,82.54,improving,Low Risk
STU00001,Vihaan Kapoor,Computer Science,7,Male,DBMS,50,45,90.0,80.39,3,61,4.7,90.0,improving,Low Risk
STU00001,Vihaan Kapoor,Computer Science,7,Male,AI & ML,61,49,80.33,71.25,6,79,4.7,80.33,improving,Low Risk
STU00002,Neha Rao,Mechanical,2,Female,Heat Transfer,54,33,61.11,60.46,8,40,22.8,61.11,stable,High Risk
STU00002,Neha Rao,Mechanical,2,Female,Manufacturing Tech,55,38,69.09,65.15,6,62,22.8,69.09,stable,Medium Risk
STU00002,Neha Rao,Mechanical,2,Female,Thermodynamics,56,36,64.29,62.61,8,47,22.8,64.29,stable,High Risk
STU00002,Neha Rao,Mechanical,2,Female,Fluid Mechanics,60,41,68.33,68.39,8,49,22.8,68.33,stable,Medium Risk
STU00002,Neha Rao,Mechanical,2,Female,Machine Design,53,39,73.58,75.56,6,64,22.8,73.58,stable,Medium Risk
STU00003,Riya Chatterjee,Computer Science,6,Female,DBMS,60,53,88.33,85.29,4,66,9.1,88.33,improving,Low Risk
STU00003,Riya Chatterjee,Computer Science,6,Female,Computer Networks,45,40,88.89,84.9,3,67,9.1,88.89,improving,Low Risk
STU00003,Riya Chatterjee,Computer Science,6,Female,Data Structures,64,52,81.25,76.39,4,62,9.1,81.25,improving,Low Risk
STU00003,Riya Chatterjee,Computer Science,6,Female,Operating Systems,53,50,94.34,81.57,0,65,9.1,94.34,improving,Low Risk
STU00003,Riya Chatterjee,Computer Science,6,Female,AI & ML,64,51,79.69,70.46,7,56,9.1,79.69,improving,Low Risk
STU00004,Vihaan Joshi,Civil,6,Male,Transportation Engg,54,36,66.67,62.42,9,55,11.8,66.67,stable,Medium Risk
STU00004,Vihaan Joshi,Civil,6,Male,Structural Analysis,59,42,71.19,70.86,9,52,11.8,71.19,stable,Medium Risk
STU00004,Vihaan Joshi,Civil,6,Male,Surveying,63,43,68.25,69.67,6,60,11.8,68.25,stable,Medium Risk
STU00004,Vihaan Joshi,Civil,6,Male,Geotechnical Engg,49,32,65.31,66.16,11,38,11.8,65.31,stable,Medium Risk
STU00004,Vihaan Joshi,Civil,6,Male,Concrete Technology,64,53,82.81,81.32,2,57,11.8,82.81,stable,Low Risk
STU00005,Kavya Verma,Electrical,5,Female,Electrical Machines,64,58,90.62,91.29,1,79,7.6,90.62,stable,Low Risk
STU00005,Kavya Verma,Electrical,5,Female,Control Systems,45,43,95.56,95.28,1,80,7.6,95.56,stable,Low Risk
STU00005,Kavya Verma,Electrical,5,Female,Power Systems,61,55,90.16,88.43,1,68,7.6,90.16,stable,Low Risk
STU00005,Kavya Verma,Electrical,5,Female,Circuit Theory,60,51,85.0,84.24,6,66,7.6,85.0,stable,Low Risk
STU00006,Karthik Desai,Computer Science,3,Male,DBMS,57,51,89.47,90.17,3,69,11.1,89.47,stable,Low Risk
STU00006,Karthik Desai,Computer Science,3,Male,Data Structures,56,53,94.64,93.22,3,81,11.1,94.64,stable,Low Risk
