Student_ID,Name,Department,Semester,Gender,Distance_KM,Overall_Attendance_Percentage,Trend,Num_Subjects
STU00001,Vihaan Kapoor,Computer Science,7,Male,4.7,84.98,improving,4
STU00002,Neha Rao,Mechanical,2,Female,22.8,67.28,stable,5
STU00003,Riya Chatterjee,Computer Science,6,Female,9.1,86.5,improving,5
STU00004,Vihaan Joshi,Civil,6,Male,11.8,70.85,stable,5
STU00005,Kavya Verma,Electrical,5,Female,7.6,90.34,stable,4
STU00006,Karthik Desai,Computer Science,3,Male,11.1,86.87,stable,4
STU00007,Varun Kapoor,Mechanical,4,Male,10.1,86.83,improving,5
STU00008,Varun Kapoor,Electrical,6,Male,7.3,75.84,stable,4
STU00009,Tanya Iyer,Computer Science,1,Female,2.5,79.02,improving,4
STU00010,Dev Rao,Computer Science,6,Male,26.2,54.64,improving,5
STU00011,Tanya Reddy,Civil,3,Female,13.6,56.27,stable,4
STU00012,Rohan Pillai,Civil,7,Male,6.7,85.95,improving,4
STU00013,Aryan Patel,Computer Science,5,Male,4.5,40.66,declining,5
STU00014,Aditya Chatterjee,Electronics,2,Male,9.1,64.08,declining,4
STU00015,Tanya Rao,Information Technology,1,Female,8.7,95.35,declining,4
STU00016,Sneha Nair,Information Technology,7,Female,15.9,75.09,improving,4
STU00017,Diya Kumar,Information Technology,7,Female,14.8,73.61,stable,5
STU00018,Yash Verma,Civil,7,Male,2.4,54.41,declining,4
STU00019,Dev Chatterjee,Electrical,4,Male,21.5,39.8,stable,4
STU00020,Isha Patel,Electronics,8,Female,4.1,95.17,declining,5
STU00021,Rohan Kapoor,Mechanical,1,Male,11.3,82.88,stable,5
STU00022,Varun Reddy,Electronics,8,Male,3.6,93.57,stable,4
STU00023,Diya Desai,Information Technology,7,Female,8.2,77.49,improving,5
STU00024,Sai Pillai,Electronics,3,Male,7.7,40.2,stable,4
STU00025,Rahul Kapoor,Information Technology,4,Male,10.5,70.12,stable,4
STU00026,Shreya Nair,Information Technology,2,Female,3.4,73.32,improving,4
STU00027,Meera Rao,Computer Science,3,Female,0.7,84.6,stable,5
STU00028,Sai Sharma,Information Technology,7,Male,20.8,71.29,stable,4
STU00029,Karthik Iyer,Electronics,3,Male,4.9,85.87,stable,4
STU00030,Varun Patel,Electrical,7,Male,10.9,96.97,stable,5
STU00031,Radhika Joshi,Computer Science,3,Female,11.1,81.2,improving,5
STU00032,Meera Desai,Electrical,7,Female,2.9,83.37,stable,4
STU00033,Riya Reddy,Information Technology,1,Female,24.6,87.75,stable,5
STU00034,Radhika Reddy,Computer Science,3,Female,9.0,85.34,improving,4
STU00035,Diya Rao,Civil,4,Female,2.4,71.88,stable,4
STU00036,Aryan Nair,Electrical,4,Male,12.8,84.05,stable,5
STU00037,Sai Iyer,Electronics,8,Male,8.0,94.45,stable,4
STU00038,Rahul Rao,Mechanical,5,Male,8.7,76.63,stable,5
STU00039,Meera Nair,Computer Science,1,Female,1.5,77.29,stable,4
STU00040,Nikhil Patel,Electronics,5,Male,7.9,91.21,stable,4
STU00041,Nisha Menon,Electrical,2,Female,25.3,87.81,improving,4
STU00042,Rohan Chatterjee,Information Technology,2,Male,21.8,87.82,stable,4
STU00043,Neha Joshi,Civil,6,Female,13.3,85.19,stable,5
STU00044,Vihaan Gupta,Civil,1,Male,18.7,61.13,improving,5
STU00045,Aryan Chatterjee,Computer Science,5,Male,23.1,68.0,stable,5
STU00046,Riya Kapoor,Information Technology,1,Female,12.1,63.66,declining,4
STU00047,Dev Menon,Computer Science,5,Male,23.5,89.42,declining,5
STU00048,Yash Gupta,Computer Science,3,Male,3.0,91.72,declining,4
STU00049,Arjun Patel,Mechanical,1,Male,3.9,80.82,stable,5
STU00050,Neha Iyer,Mechanical,1,Female,35.8,55.62,declining,4
STU00051,Divya Nair,Information Technology,7,Female,3.7,53.56,stable,5
STU00052,Shreya Sharma,Mechanical,4,Female,2.0,88.04,improving,4
STU00053,Aryan Kapoor,Computer Science,3,Male,8.8,50.96,declining,5
STU00054,Aryan Patel,Information Technology,3,Male,8.2,85.45,stable,5
STU00055,Sai Joshi,Civil,1,Male,20.5,72.14,stable,4
STU00056,Kabir Kapoor,Computer Science,1,Male,16.3,63.96,stable,4
STU00057,Tanya Rao,Information Technology,4,Female,13.9,72.52,stable,5
STU00058,Karthik Singh,Electronics,7,Male,10.8,40.01,declining,4
STU00059,Ananya Iyer,Information Technology,3,Female,18.2,40.26,declining,4
STU00060,Arjun Verma,Electronics,7,Male,30.3,63.11,stable,4
STU00061,Sai Patel,Computer Science,6,Male,18.6,76.49,declining,5
STU00062,Rahul Rao,Electronics,3,Male,19.9,56.57,improving,5
STU00063,Divya Singh,Mechanical,7,Female,8.5,91.52,stable,5
STU00064,Diya Kapoor,Civil,4,Female,12.7,83.89,declining,4
STU00065,Anika Patel,Mechanical,5,Female,5.2,39.69,declining,5
STU00066,Anika Kumar,Information Technology,8,Female,5.5,73.2,stable,4
STU00067,Vihaan Kumar,Mechanical,3,Male,10.7,92.0,declining,4
STU00068,Aryan Gupta,Mechanical,4,Male,9.9,63.02,improving,4
STU00069,Anika Sharma,Information Technology,5,Female,1.8,47.71,improving,5
STU00070,Meera Menon,Computer Science,7,Female,8.9,89.95,declining,5
STU00071,Manav Nair,Electronics,2,Male,25.8,87.17,declining,5
STU00072,Isha Menon,Computer Science,8,Female,10.6,76.63,stable,4
STU00073,Manav Chatterjee,Mechanical,5,Male,14.3,60.22,stable,5
STU00074,Aarav Nair,Electrical,7,Male,6.7,93.78,stable,5
STU00075,Divya Sharma,Civil,4,Female,10.3,83.85,stable,5
STU00076,Divya Gupta,Electrical,6,Female,16.8,53.14,improving,4
STU00077,Yash Gupta,Electrical,3,Male,9.2,47.76,stable,5
STU00078,Aditya Patel,Electronics,6,Male,7.4,71.44,stable,4
STU00079,Rohan Kumar,Information Technology,7,Male,12.9,72.8,stable,5
STU00080,Tanya Kapoor,Civil,6,Female,6.4,80.86,improving,4
STU00081,Manav Patel,Information Technology,3,Male,14.8,86.59,declining,4
STU00082,Aditya Menon,Electrical,1,Male,8.9,78.72,stable,4
STU00083,Riya Chatterjee,Computer Science,1,Female,2.0,86.19,stable,4
STU00084,Ishaan Iyer,Information Technology,3,Male,2.6,77.32,stable,5
STU00085,Meera Sharma,Electronics,6,Female,19.6,72.02,stable,4
STU00086,Diya Verma,Electrical,3,Female,8.0,41.33,stable,4
STU00087,Aryan Joshi,Electronics,2,Male,8.6,72.99,declining,5
STU00088,Pooja Rao,Electrical,5,Female,9.3,70.25,declining,5
STU00089,Varun Iyer,Civil,7,Male,19.5,63.79,stable,5
STU00090,Yash Kumar,Information Technology,8,Male,4.7,71.21,stable,5
STU00091,Manav Iyer,Mechanical,4,Male,13.1,89.12,stable,4
STU00092,Sai Joshi,Mechanical,1,Male,20.0,58.6,stable,4
STU00093,Sai Rao,Electronics,6,Male,5.8,83.0,improving,4
STU00094,Rohan Menon,Information Technology,5,Male,0.7,98.53,improving,4
STU00095,Arjun Gupta,Computer Science,8,Male,6.3,90.9,declining,4
STU00096,Neha Patel,Electrical,4,Female,4.1,68.49,declining,5
STU00097,Nikhil Reddy,Information Technology,6,Male,5.9,88.96,stable,4
STU00098,Manav Verma,Electrical,8,Male,15.9,70.81,declining,4
STU00099,Ishaan Verma,Information Technology,8,Male,0.8,66.44,stable,5
STU00100,Ishaan Desai,Information Technology,8,Male,12.1,83.06,stable,4
STU00101,Ishaan Pillai,Information Technology,8,Male,4.1,40.52,declining,5
STU00102,Sai Joshi,Information Technology,1,Male,5.2,81.64,stable,4
STU00103,Sai Gupta,Mechanical,8,Male,12.2,93.4,declining,5
STU00104,Aryan Desai,Information Technology,6,Male,12.8,85.13,declining,5
STU00105,Kabir Kapoor,Information Technology,8,Male,8.2,90.53,stable,4
STU00106,Isha Joshi,Electronics,5,Female,13.5,69.69,declining,4
STU00107,Shreya Rao,Civil,8,Female,10.7,82.05,stable,5
STU00108,Varun Gupta,Information Technology,5,Male,15.2,55.29,stable,4
STU00109,Diya Verma,Computer Science,2,Female,39.1,74.29,declining,5
STU00110,Sai Pillai,Mechanical,5,Male,4.5,76.89,stable,5
STU00111,Rohan Rao,Electrical,2,Male,3.1,64.33,declining,5
STU00112,Pooja Nair,Civil,5,Female,9.2,91.35,declining,4
STU00113,Pooja Gupta,Civil,3,Female,10.3,89.03,declining,4
STU00114,Shreya Singh,Computer Science,4,Female,7.3,54.77,declining,4
STU00115,Karthik Iyer,Electrical,2,Male,9.8,78.21,stable,5
STU00116,Sneha Chatterjee,Civil,6,Female,8.4,75.09,improving,5
STU00117,Aarav Kapoor,Computer Science,1,Male,7.8,48.6,stable,4
STU00118,Sai Joshi,Information Technology,5,Male,12.6,95.23,stable,5
STU00119,Neha Menon,Computer Science,7,Female,24.7,71.78,stable,4
STU00120,Kabir Patel,Electronics,2,Male,17.2,86.43,improving,5
STU00121,Rohan Singh,Electrical,4,Male,8.4,54.1,stable,4
STU00122,Diya Patel,Computer Science,5,Female,9.1,81.55,improving,5
STU00123,Neha Verma,Mechanical,4,Female,12.0,69.12,stable,5
STU00124,Aryan Menon,Electronics,2,Male,8.2,74.77,stable,4
STU00125,Aryan Sharma,Electronics,4,Male,11.6,72.31,improving,5
STU00126,Priya Rao,Civil,3,Female,19.6,73.13,stable,4
STU00127,Arjun Reddy,Civil,3,Male,5.5,66.34,stable,5
STU00128,Neha Iyer,Electronics,3,Female,5.5,51.12,stable,5
STU00129,Neha Verma,Civil,8,Female,5.4,98.05,stable,4
STU00130,Rohan Singh,Mechanical,1,Male,2.1,80.18,improving,4
STU00131,Aryan Iyer,Mechanical,7,Male,0.6,76.3,stable,4
STU00132,Isha Pillai,Computer Science,8,Female,6.1,59.92,declining,5
STU00133,Manav Singh,Computer Science,1,Male,9.3,82.78,stable,5
STU00134,Sai Reddy,Electronics,4,Male,2.9,79.21,declining,5
STU00135,Anika Singh,Electronics,4,Female,39.9,52.23,stable,5
STU00136,Kabir Sharma,Civil,1,Male,6.9,65.0,stable,5
STU00137,Priya Desai,Mechanical,8,Female,16.3,79.14,declining,5
STU00138,Aditya Rao,Computer Science,1,Male,8.9,95.55,stable,5
STU00139,Sai Kapoor,Mechanical,3,Male,1.2,78.98,declining,5
STU00140,Vihaan Verma,Computer Science,8,Male,4.6,68.15,stable,5
STU00141,Kabir Rao,Electrical,8,Male,26.4,74.56,stable,4
STU00142,Rahul Rao,Information Technology,8,Male,11.9,79.62,improving,4
STU00143,Sai Desai,Computer Science,1,Male,12.4,80.02,declining,5
STU00144,Priya Singh,Information Technology,2,Female,31.6,82.56,stable,5
STU00145,Tanya Rao,Computer Science,3,Female,5.1,89.72,improving,4
STU00146,Aryan Gupta,Mechanical,2,Male,15.6,44.24,improving,4
STU00147,Nisha Reddy,Information Technology,2,Female,20.2,57.56,stable,5
STU00148,Karthik Kumar,Civil,4,Male,1.7,84.61,improving,5
STU00149,Dev Rao,Mechanical,2,Male,7.3,66.88,declining,5
STU00150,Kabir Sharma,Electrical,7,Male,3.3,58.76,stable,4
STU00151,Meera Chatterjee,Electronics,2,Female,8.3,84.71,stable,4
STU00152,Aarav Pillai,Electrical,1,Male,8.2,76.83,stable,4
STU00153,Tanya Iyer,Electrical,1,Female,12.5,66.05,stable,4
STU00154,Kabir Kumar,Information Technology,5,Male,15.7,63.06,declining,4
STU00155,Ishaan Verma,Electrical,8,Male,5.0,71.63,stable,5
STU00156,Rahul Patel,Information Technology,7,Male,16.9,70.73,stable,4
STU00157,Diya Gupta,Mechanical,4,Female,10.8,87.09,improving,4
STU00158,Arjun Patel,Electronics,6,Male,2.5,95.62,stable,5
STU00159,Varun Joshi,Mechanical,5,Male,8.1,85.53,improving,4
STU00160,Manav Kapoor,Information Technology,3,Male,17.3,91.89,declining,5
STU00161,Ishaan Verma,Information Technology,4,Male,27.4,64.76,improving,5
STU00162,Anika Pillai,Electrical,7,Female,18.8,61.99,improving,5
STU00163,Manav Nair,Information Technology,8,Male,38.7,70.77,improving,4
STU00164,Kavya Sharma,Information Technology,1,Female,23.3,65.75,declining,5
STU00165,Priya Kumar,Electronics,1,Female,4.8,82.53,stable,4
STU00166,Karthik Reddy,Mechanical,6,Male,23.1,48.18,declining,5
STU00167,Kabir Chatterjee,Mechanical,6,Male,7.4,73.81,improving,4
STU00168,Sai Kapoor,Electrical,4,Male,4.1,67.96,improving,5
STU00169,Manav Reddy,Electronics,4,Male,7.9,71.87,declining,5
STU00170,Arjun Desai,Information Technology,7,Male,2.3,66.97,stable,4
STU00171,Neha Gupta,Information Technology,1,Female,3.0,76.32,improving,4
STU00172,Nikhil Kumar,Electrical,1,Male,5.9,90.9,stable,4
STU00173,Yash Gupta,Information Technology,3,Male,21.0,72.66,stable,5
STU00174,Manav Pillai,Electrical,3,Male,18.8,75.24,stable,4
STU00175,Priya Iyer,Mechanical,4,Female,16.4,70.78,stable,5
STU00176,Tanya Sharma,Electrical,8,Female,6.7,90.05,improving,4
STU00177,Kabir Menon,Electrical,8,Male,10.4,72.05,stable,4
STU00178,Manav Desai,Mechanical,3,Male,0.8,82.73,improving,5
STU00179,Rohan Pillai,Mechanical,2,Male,18.1,40.19,stable,4
STU00180,Vihaan Joshi,Electronics,8,Male,9.7,57.95,declining,4
STU00181,Divya Pillai,Information Technology,3,Female,26.4,83.14,stable,5
STU00182,Arjun Pillai,Electronics,7,Male,9.3,63.07,stable,5
STU00183,Diya Kumar,Electronics,8,Female,1.9,81.3,improving,4
STU00184,Sneha Reddy,Information Technology,5,Female,15.2,67.75,stable,5
STU00185,Ananya Kapoor,Electrical,3,Female,5.9,40.71,stable,4
STU00186,Ishaan Patel,Mechanical,3,Male,2.2,88.0,improving,4
STU00187,Riya Reddy,Electrical,5,Female,15.1,52.7,declining,4
STU00188,Radhika Verma,Computer Science,6,Female,7.1,86.98,declining,5
